"Items","Size","Frequency","Support","Score"
"burgers, cooking oil",2,43,0.005732568990801226,1.2876893349621927
"shrimp, cooking oil",2,45,0.005999200106652446,1.644251003468298
"low fat yogurt, cooking oil",2,49,0.006532462338354886,1.6718779850983887
"tomatoes, cooking oil",2,50,0.006665777896280496,1.9088553993047603
"chicken, cooking oil",2,51,0.006799093454206106,2.2196170583115755
"frozen vegetables, cooking oil",2,51,0.006799093454206106,1.396961784951341
"green tea, cooking oil",2,53,0.007065724570057326,1.0474242068960067
"pancakes, cooking oil",2,59,0.007865617917610986,1.620626265659388
"french fries, cooking oil",2,59,0.007865617917610986,0.9013311446295973
"ground beef, cooking oil",2,63,0.008398880149313425,1.674146476258631
"milk, cooking oil",2,86,0.011465137981602452,1.732816512479988
"eggs, cooking oil",2,88,0.011731769097453673,1.278536619380031
"chocolate, cooking oil",2,102,0.013598186908412212,1.6254315317171826
"spaghetti, cooking oil",2,119,0.01586455139314758,1.7845313255950646
"mineral water, cooking oil",2,151,0.020130649246767097,1.6539783646123563
"mineral water, pancakes, cooking oil",3,35,0.004666044527396347,4.033207415300567
"spaghetti, ground beef, cooking oil",3,36,0.004799360085321957,5.49454067749551
"chocolate, milk, cooking oil",3,33,0.004399413411545127,4.058217777581593
"mineral water, milk, cooking oil",3,35,0.004666044527396347,2.9585153159560744
"eggs, spaghetti, cooking oil",3,31,0.0041327822956939075,2.5868317437096096
"eggs, chocolate, cooking oil",3,34,0.004532728969470737,3.014926290655437
"mineral water, eggs, cooking oil",3,48,0.006399146780429276,2.9256568584410045
"spaghetti, chocolate, cooking oil",3,33,0.004399413411545127,3.0203581009259635
"mineral water, chocolate, cooking oil",3,43,0.005732568990801226,2.8746740938207616
"mineral water, spaghetti, cooking oil",3,57,0.007598986801759766,3.585945801033261
"chicken, grated cheese",2,32,0.004266097853619517,1.3572632174158892
"tomatoes, grated cheese",2,33,0.004399413411545127,1.2277874499650314
"shrimp, grated cheese",2,33,0.004399413411545127,1.175102540731457
"whole wheat rice, grated cheese",2,34,0.004532728969470737,1.4782265964167927
"escalope, grated cheese",2,36,0.004799360085321957,1.1548142921290654
"cake, grated cheese",2,36,0.004799360085321957,1.1301225391723584
"turkey, grated cheese",2,37,0.004932675643247567,1.5057590998117376
"burgers, grated cheese",2,41,0.005465937874950006,1.1965551587023677
"low fat yogurt, grated cheese",2,42,0.005599253432875617,1.396574194749581
"olive oil, grated cheese",2,47,0.006265831222503666,1.8159233962769519
"frozen vegetables, grated cheese",2,51,0.006799093454206106,1.3614156835530882
"pancakes, grated cheese",2,52,0.006932409012131715,1.392003825715805
"milk, grated cheese",2,59,0.007865617917610986,1.1585435449585861
"green tea, grated cheese",2,59,0.007865617917610986,1.1363313074669483
"eggs, grated cheese",2,68,0.009065457938941474,0.9628211807521838
"french fries, grated cheese",2,78,0.010398613518197574,1.1612699622488718
"chocolate, grated cheese",2,82,0.010931875749900012,1.2734696074716818
"ground beef, grated cheese",2,85,0.011331822423676844,2.2012940156952916
"spaghetti, grated cheese",2,124,0.01653112918277563,1.8121958157495839
"mineral water, grated cheese",2,131,0.0174643380882549,1.3983967188665176
"eggs, spaghetti, grated cheese",3,32,0.004266097853619517,2.602331925708362
"mineral water, eggs, grated cheese",3,33,0.004399413411545127,1.9602087062041909
"mineral water, ground beef, grated cheese",3,38,0.005065991201173177,4.128519829225915
"spaghetti, ground beef, grated cheese",3,40,0.005332622317024397,5.949700535710434
"mineral water, spaghetti, grated cheese",3,47,0.006265831222503666,2.881595034346669
"escalope, whole wheat rice",2,39,0.005199306759098787,1.1199594188472657
"chicken, whole wheat rice",2,41,0.005465937874950006,1.5567754998734498
"shrimp, whole wheat rice",2,44,0.005865884548726837,1.4026280896202359
"frozen smoothie, whole wheat rice",2,45,0.005999200106652446,1.6187267713703393
"tomatoes, whole wheat rice",2,45,0.005999200106652446,1.498821084602166
"low fat yogurt, whole wheat rice",2,49,0.006532462338354886,1.4586088116006446
"pancakes, whole wheat rice",2,52,0.006932409012131715,1.2461446549118709
"turkey, whole wheat rice",2,53,0.007065724570057326,1.9308906168798057
"cake, whole wheat rice",2,58,0.007732302359685375,1.6299679295048555
"ground beef, whole wheat rice",2,61,0.008132249033462205,1.414220057303048
"burgers, whole wheat rice",2,67,0.008932142381015865,1.750458018989502
"frozen vegetables, whole wheat rice",2,68,0.009065457938941474,1.6250155311658727
"green tea, whole wheat rice",2,68,0.009065457938941474,1.1724380472084752
"french fries, whole wheat rice",2,79,0.010531929076123183,1.0529159662969663
"eggs, whole wheat rice",2,82,0.010931875749900012,1.0393901705386532
"milk, whole wheat rice",2,89,0.011865084655379284,1.5645101568285575
"chocolate, whole wheat rice",2,90,0.011998400213304892,1.2512534034188951
"spaghetti, whole wheat rice",2,106,0.014131449140114652,1.386811178126537
"mineral water, whole wheat rice",2,151,0.020130649246767097,1.4429925140012128
"mineral water, pancakes, whole wheat rice",3,31,0.0041327822956939075,3.116581297875928
"mineral water, frozen vegetables, whole wheat rice",3,33,0.004399413411545127,3.3083709162067545
"mineral water, milk, whole wheat rice",3,38,0.005065991201173177,2.8023580806003716
"spaghetti, chocolate, whole wheat rice",3,31,0.0041327822956939075,2.475371832145645
"mineral water, spaghetti, whole wheat rice",3,47,0.006265831222503666,2.5796511355313005
"low fat yogurt, chicken",2,33,0.004399413411545127,0.958315911730546
"turkey, chicken",2,36,0.004799360085321957,1.2794882729211088
"shrimp, chicken",2,47,0.006265831222503666,1.4616376451077941
"burgers, chicken",2,47,0.006265831222503666,1.19791709140333
"tomatoes, chicken",2,48,0.006399146780429276,1.5596621182586097
"cake, chicken",2,49,0.006532462338354886,1.3433808479532163
"frozen smoothie, chicken",2,50,0.006665777896280496,1.7546198830409359
"olive oil, chicken",2,54,0.007199040127982935,1.8221052631578947
"frozen vegetables, chicken",2,67,0.008932142381015865,1.5619797979797982
"pancakes, chicken",2,68,0.009065457938941474,1.5897397537790243
"ground beef, chicken",2,71,0.009465404612718305,1.6058224031358364
"french fries, chicken",2,83,0.011065191307825623,1.0791870341480327
"green tea, chicken",2,89,0.011865084655379284,1.4970041484471355
"eggs, chicken",2,108,0.01439808025596587,1.3354896142433235
"chocolate, chicken",2,110,0.014664711371817091,1.4919265889160114
"milk, chicken",2,111,0.014798026929742702,1.9035459533607684
"spaghetti, chicken",2,129,0.01719770697240368,1.6464675855028075
"mineral water, chicken",2,171,0.022796960405279298,1.5941722595078303
"mineral water, pancakes, chicken",3,36,0.004799360085321957,3.5307850058516963
"spaghetti, ground beef, chicken",3,36,0.004799360085321957,4.676464621068401
"mineral water, french fries, chicken",3,32,0.004266097853619517,1.7455016184241705
"eggs, milk, chicken",3,31,0.0041327822956939075,2.958226027755051
"eggs, spaghetti, chicken",3,31,0.0041327822956939075,2.201681239646179
"mineral water, eggs, chicken",3,39,0.005199306759098787,2.0231729858580225
"spaghetti, chocolate, chicken",3,32,0.004266097853619517,2.49276154107398
"chocolate, milk, chicken",3,34,0.004532728969470737,3.5586607339843432
"mineral water, chocolate, chicken",3,57,0.007598986801759766,3.243256338098246
"spaghetti, milk, chicken",3,41,0.005465937874950006,4.038315370794007
"mineral water, milk, chicken",3,50,0.006665777896280496,3.5971789397180216
"mineral water, spaghetti, chicken",3,52,0.006932409012131715,2.7843156558821995
"frozen smoothie, turkey",2,31,0.0041327822956939075,1.043793064751431
"escalope, turkey",2,32,0.004266097853619517,0.8601601834763757
"low fat yogurt, turkey",2,38,0.005065991201173177,1.0588099819469106
"olive oil, turkey",2,40,0.005332622317024397,1.2950286163169118
"shrimp, turkey",2,48,0.006399146780429276,1.432262992075868
"tomatoes, turkey",2,49,0.006532462338354886,1.5276541270256903
"cake, turkey",2,52,0.006932409012131715,1.367873975984738
"frozen vegetables, turkey",2,66,0.008798826823090255,1.4763326226012796
"ground beef, turkey",2,69,0.009198773496867084,1.497365855352044
"pancakes, turkey",2,72,0.009598720170643914,1.615062336085551
"burgers, turkey",2,80,0.010665244634048793,1.9564040870353343
"french fries, turkey",2,80,0.010665244634048793,0.9980407745094453
"milk, turkey",2,85,0.011331822423676844,1.398617582282591
"chocolate, turkey",2,85,0.011331822423676844,1.1061483238231717
"green tea, turkey",2,89,0.011865084655379284,1.4363579249492773
"spaghetti, turkey",2,124,0.01653112918277563,1.5185350865449607
"mineral water, turkey",2,144,0.019197440341287828,1.288075442538029
"eggs, turkey",2,146,0.01946407145713905,1.732244879882065
"mineral water, frozen vegetables, turkey",3,33,0.004399413411545127,3.096748043101845
"spaghetti, milk, turkey",3,36,0.004799360085321957,3.4021898698248956
"mineral water, milk, turkey",3,46,0.0061325156645780565,3.175334927597571
"mineral water, chocolate, turkey",3,31,0.0041327822956939075,1.692418580648282
"eggs, spaghetti, turkey",3,39,0.005199306759098787,2.6576453508350264
"mineral water, spaghetti, turkey",3,48,0.006399146780429276,2.466016818396569
"mineral water, eggs, turkey",3,42,0.005599253432875617,2.090534658177061
"escalope, frozen smoothie",2,41,0.005465937874950006,1.0881592215833702
"cake, frozen smoothie",2,48,0.006399146780429276,1.2467036011080335
"tomatoes, frozen smoothie",2,49,0.006532462338354886,1.508357443315892
"olive oil, frozen smoothie",2,52,0.006932409012131715,1.6622714681440443
"burgers, frozen smoothie",2,54,0.007199040127982935,1.3038918396909704
"shrimp, frozen smoothie",2,55,0.007332355685908546,1.620404556166536
"low fat yogurt, frozen smoothie",2,55,0.007332355685908546,1.5131303869429675
"ground beef, frozen smoothie",2,57,0.007598986801759766,1.2213297150610585
"pancakes, frozen smoothie",2,68,0.009065457938941474,1.5060692404222336
"frozen vegetables, frozen smoothie",2,75,0.009998666844420743,1.6564593301435406
"eggs, frozen smoothie",2,83,0.011065191307825623,0.97233015773856
"green tea, frozen smoothie",2,84,0.011198506865751233,1.3385394869616019
"milk, frozen smoothie",2,107,0.014264764698040262,1.7383734026424087
"french fries, frozen smoothie",2,109,0.014531395813891481,1.3426537482551935
"chocolate, frozen smoothie",2,112,0.01493134248766831,1.43910239390176
"spaghetti, frozen smoothie",2,117,0.01559792027729636,1.414712662206819
"mineral water, frozen smoothie",2,152,0.020263964804692707,1.342460850111857
"spaghetti, frozen vegetables, frozen smoothie",3,31,0.0041327822956939075,3.9323955538295836
"mineral water, eggs, frozen smoothie",3,31,0.0041327822956939075,1.5235229772048267
"chocolate, milk, frozen smoothie",3,31,0.0041327822956939075,3.0738896123270334
"spaghetti, milk, frozen smoothie",3,42,0.005599253432875617,3.9190839798719765
"mineral water, milk, frozen smoothie",3,46,0.0061325156645780565,3.1352254337752856
"spaghetti, chocolate, frozen smoothie",3,35,0.004666044527396347,2.5829601494681045
"mineral water, chocolate, frozen smoothie",3,38,0.005065991201173177,2.0483724240620496
"mineral water, spaghetti, frozen smoothie",3,51,0.006799093454206106,2.587046328036295
"burgers, olive oil",2,48,0.006399146780429276,1.1144374698213424
"cake, olive oil",2,49,0.006532462338354886,1.2237274930747923
"low fat yogurt, olive oil",2,51,0.006799093454206106,1.3491197505960022
"tomatoes, olive oil",2,54,0.007199040127982935,1.598337950138504
"shrimp, olive oil",2,61,0.008132249033462205,1.7280538098978788
"french fries, olive oil",2,69,0.009198773496867084,0.8172469004023319
"green tea, olive oil",2,75,0.009998666844420743,1.1491582133942322
"pancakes, olive oil",2,81,0.010798560191974404,1.7249944637189047
"frozen vegetables, olive oil",2,85,0.011331822423676844,1.8051159366948841
"eggs, olive oil",2,90,0.011998400213304892,1.0137826019053569
"ground beef, olive oil",2,106,0.014131449140114652,2.183889166607156
"chocolate, olive oil",2,123,0.01639781362485002,1.5196565457582116
"milk, olive oil",2,128,0.017064391414478068,1.9995668182802686
"spaghetti, olive oil",2,172,0.022930275963204905,1.9997582010155557
"mineral water, olive oil",2,207,0.027596320490601255,1.757903567643942
"mineral water, tomatoes, olive oil",3,31,0.0041327822956939075,3.8493570499177285
"spaghetti, tomatoes, olive oil",3,33,0.004399413411545127,5.610024783217548
"mineral water, shrimp, olive oil",3,34,0.004532728969470737,4.040712907117538
"mineral water, green tea, olive oil",3,32,0.004266097853619517,2.0569332160883254
"spaghetti, green tea, olive oil",3,34,0.004532728969470737,2.9920818355771788
"mineral water, pancakes, olive oil",3,35,0.004666044527396347,3.126960404979995
"spaghetti, pancakes, olive oil",3,38,0.005065991201173177,4.6479588220512085
"milk, frozen vegetables, olive oil",3,36,0.004799360085321957,5.899858231437178
"spaghetti, frozen vegetables, olive oil",3,43,0.005732568990801226,5.2448203726635265
"mineral water, frozen vegetables, olive oil",3,49,0.006532462338354886,4.365499127623819
"eggs, spaghetti, olive oil",3,38,0.005065991201173177,2.4584529971235245
"mineral water, eggs, olive oil",3,44,0.005865884548726837,2.079249720751004
"milk, ground beef, olive oil",3,37,0.004932675643247567,5.8827359231369885
"spaghetti, ground beef, olive oil",3,46,0.0061325156645780565,5.443253354482452
"mineral water, ground beef, olive oil",3,50,0.006665777896280496,4.321618082478651
"chocolate, milk, olive oil",3,39,0.005199306759098787,3.718414853621412
"spaghetti, chocolate, olive oil",3,53,0.007065724570057326,3.760903514335427
"mineral water, chocolate, olive oil",3,62,0.008265564591387815,3.2135397341054426
"spaghetti, milk, olive oil",3,54,0.007199040127982935,4.845021403687883
"mineral water, milk, olive oil",3,64,0.008532195707239034,4.194281516756234
"mineral water, spaghetti, olive oil",3,77,0.010265297960271964,3.7557045109124196
"escalope, tomatoes",2,41,0.005465937874950006,1.0075548347994168
"low fat yogurt, tomatoes",2,45,0.005999200106652446,1.1463108991992177
"burgers, tomatoes",2,62,0.008265564591387815,1.3861675936358053
"cake, tomatoes",2,63,0.008398880149313425,1.5150911819021238
"pancakes, tomatoes",2,74,0.009865351286495135,1.5175534285300285
"shrimp, tomatoes",2,84,0.011198506865751233,2.2914811905385353
"ground beef, tomatoes",2,88,0.011731769097453673,1.7458904308865033
"french fries, tomatoes",2,90,0.011998400213304892,1.0264936913266005
"green tea, tomatoes",2,92,0.012265031329156113,1.3574254056488906
"eggs, tomatoes",2,92,0.012265031329156113,0.9979292114228863
"milk, tomatoes",2,105,0.013998133582189041,1.5795189276345871
"chocolate, tomatoes",2,105,0.013998133582189041,1.2492208280397221
"frozen vegetables, tomatoes",2,121,0.0161311825089988,2.474463937621832
"spaghetti, tomatoes",2,157,0.020930542594320756,1.7577547322449392
"mineral water, tomatoes",2,183,0.024396747100386616,1.4965298219448697
"mineral water, pancakes, tomatoes",3,35,0.004666044527396347,3.011147056647402
"mineral water, ground beef, tomatoes",3,41,0.005465937874950006,3.412477685868327
"spaghetti, ground beef, tomatoes",3,42,0.005599253432875617,4.785855606356551
"mineral water, eggs, tomatoes",3,38,0.005065991201173177,1.729207680220532
"milk, frozen vegetables, tomatoes",3,31,0.0041327822956939075,4.892269274216426
"spaghetti, milk, tomatoes",3,44,0.005865884548726837,3.8015805801227285
"mineral water, milk, tomatoes",3,49,0.006532462338354886,3.092311720108474
"spaghetti, chocolate, tomatoes",3,37,0.004932675643247567,2.5282943261989383
"mineral water, chocolate, tomatoes",3,43,0.005732568990801226,2.146199177257995
"mineral water, frozen vegetables, tomatoes",3,44,0.005865884548726837,3.7748533650806113
"spaghetti, frozen vegetables, tomatoes",3,50,0.006665777896280496,5.872753216591374
"mineral water, spaghetti, tomatoes",3,70,0.009332089054792695,3.287822130765081
"cookies, shrimp",2,31,0.0041327822956939075,0.7194469196307022
"escalope, shrimp",2,32,0.004266097853619517,0.7526401605418286
"low fat yogurt, shrimp",2,47,0.006265831222503666,1.1458831712517552
"cake, shrimp",2,57,0.007598986801759766,1.3119752798507462
"burgers, shrimp",2,66,0.008798826823090255,1.4122792003286317
"french fries, shrimp",2,75,0.009998666844420743,0.8187053228397793
"pancakes, shrimp",2,79,0.010531929076123183,1.5505719997488012
"ground beef, shrimp",2,86,0.011465137981602452,1.6329968205107432
"green tea, shrimp",2,86,0.011465137981602452,1.2144486949711584
"eggs, shrimp",2,106,0.014131449140114652,1.100450086363435
"frozen vegetables, shrimp",2,125,0.01666444474070124,2.44657394843962
"milk, shrimp",2,132,0.01759765364618051,1.900474479454579
"chocolate, shrimp",2,135,0.017997600319957337,1.5372208323719074
"spaghetti, shrimp",2,159,0.021197173710171976,1.7037596283513519
"mineral water, shrimp",2,177,0.023596853752832957,1.3853519733547028
"mineral water, pancakes, shrimp",3,34,0.004532728969470737,2.799596319938378
"mineral water, ground beef, shrimp",3,38,0.005065991201173177,3.0270677106078065
"spaghetti, ground beef, shrimp",3,45,0.005999200106652446,4.907670427893611
"eggs, milk, shrimp",3,32,0.004266097853619517,2.5637009388344203
"mineral water, eggs, shrimp",3,39,0.005199306759098787,1.698559409768862
"milk, frozen vegetables, shrimp",3,35,0.004666044527396347,5.286512687683915
"chocolate, frozen vegetables, shrimp",3,40,0.005332622317024397,4.778324149648974
"spaghetti, frozen vegetables, shrimp",3,45,0.005999200106652446,5.0586756718288
"mineral water, frozen vegetables, shrimp",3,54,0.007199040127982935,4.4339801526230955
"spaghetti, milk, shrimp",3,37,0.004932675643247567,3.059608250988361
"chocolate, milk, shrimp",3,41,0.005465937874950006,3.6027925012078095
"mineral water, milk, shrimp",3,59,0.007865617917610986,3.5636231660266215
"spaghetti, chocolate, shrimp",3,48,0.006399146780429276,3.1392052989271204
"mineral water, chocolate, shrimp",3,57,0.007598986801759766,2.7228831196720344
"mineral water, spaghetti, shrimp",3,64,0.008532195707239034,2.8770196214626633
"escalope, low fat yogurt",2,35,0.004666044527396347,0.7687026029924166
"cookies, low fat yogurt",2,40,0.005332622317024397,0.8668619735237864
"burgers, low fat yogurt",2,50,0.006665777896280496,0.99907830664152
"cake, low fat yogurt",2,52,0.006932409012131715,1.1176531267192371
"green tea, low fat yogurt",2,57,0.007598986801759766,0.7516375603427363
"pancakes, low fat yogurt",2,71,0.009465404612718305,1.3012959913209632
"ground beef, low fat yogurt",2,72,0.009598720170643914,1.2766512700986672
"frozen vegetables, low fat yogurt",2,76,0.010131982402346354,1.3890402280646184
"milk, low fat yogurt",2,99,0.013198240234635382,1.3309943218479807
"french fries, low fat yogurt",2,100,0.013331555792560993,1.0193404251849518
"chocolate, low fat yogurt",2,111,0.014798026929742702,1.1802618485327014
"spaghetti, low fat yogurt",2,114,0.015197973603519531,1.1406934491572
"eggs, low fat yogurt",2,126,0.01679776029862685,1.2214844032713326
"mineral water, low fat yogurt",2,180,0.023996800426609784,1.315564857470243
"mineral water, pancakes, low fat yogurt",3,32,0.004266097853619517,2.4604773559942137
"mineral water, ground beef, low fat yogurt",3,36,0.004799360085321957,2.677897420864123
"mineral water, frozen vegetables, low fat yogurt",3,34,0.004532728969470737,2.6069445832172957
"spaghetti, milk, low fat yogurt",3,33,0.004399413411545127,2.5481848923383623
"mineral water, milk, low fat yogurt",3,36,0.004799360085321957,2.0304633736387436
"mineral water, chocolate, low fat yogurt",3,43,0.005732568990801226,1.9181187768873724
"mineral water, spaghetti, low fat yogurt",3,42,0.005599253432875617,1.7630516582743763
"mineral water, eggs, low fat yogurt",3,46,0.0061325156645780565,1.8707978561270915
"cake, escalope",2,31,0.0041327822956939075,0.6427769792127378
"pancakes, escalope",2,44,0.005865884548726837,0.7779744716961119
"burgers, escalope",2,53,0.007065724570057326,1.021645722509187
"frozen vegetables, escalope",2,57,0.007598986801759766,1.0050114591291062
"milk, escalope",2,58,0.007732302359685375,0.7522529999654183
"ground beef, escalope",2,62,0.008265564591387815,1.0605384080362132
"green tea, escalope",2,67,0.008932142381015865,0.8523213119758499
"eggs, escalope",2,83,0.011065191307825623,0.7762299578585143
"spaghetti, escalope",2,105,0.013998133582189041,1.013557337176831
"french fries, escalope",2,123,0.01639781362485002,1.2095373562841676
"mineral water, escalope",2,128,0.017064391414478068,0.9024946891508281
"chocolate, escalope",2,132,0.01759765364618051,1.3540174084279766
"spaghetti, chocolate, escalope",3,33,0.004399413411545127,1.944196895217889
"mineral water, spaghetti, escalope",3,36,0.004799360085321957,1.4578511191109127
"french fries, chocolate, escalope",3,39,0.005199306759098787,2.3407016655091
"mineral water, chocolate, escalope",3,42,0.005599253432875617,1.8073874329959263
"ground beef, cookies",2,33,0.004399413411545127,0.5569911635850597
"milk, cookies",2,33,0.004399413411545127,0.4223276621010176
"pancakes, cookies",2,39,0.005199306759098787,0.6804197804804868
"burgers, cookies",2,42,0.005599253432875617,0.7988650022060948
"mineral water, cookies",2,56,0.007465671243834155,0.3896030659528606
"spaghetti, cookies",2,60,0.007998933475536596,0.5714916992373508
"chocolate, cookies",2,78,0.010398613518197574,0.7894862546502637
"eggs, cookies",2,79,0.010531929076123183,0.7290193444252525
"green tea, cookies",2,90,0.011998400213304892,1.1297197162522403
"french fries, cookies",2,100,0.013331555792560993,0.9703174196619607
"french fries, green tea, cookies",3,35,0.004666044527396347,2.5705578584354476
"ground beef, cake",2,61,0.008132249033462205,1.0211227058487469
"frozen vegetables, cake",2,77,0.010265297960271964,1.3286184210526317
"burgers, cake",2,86,0.011465137981602452,1.6223191292451309
"pancakes, cake",2,89,0.011865084655379284,1.5399834834280655
"milk, cake",2,100,0.013331555792560993,1.2692562811349364
"chocolate, cake",2,102,0.013598186908412212,1.0239149286968436
"green tea, cake",2,106,0.014131449140114652,1.3196166817143768
"french fries, cake",2,134,0.01786428476203173,1.289532699729042
"spaghetti, cake",2,136,0.018130915877882948,1.2847283791408075
"eggs, cake",2,143,0.019064124783362217,1.308765178431985
"mineral water, cake",2,206,0.027463004932675644,1.4213966649005063
"mineral water, frozen vegetables, cake",3,36,0.004799360085321957,2.6059357037346267
"mineral water, burgers, cake",3,36,0.004799360085321957,2.848996984969813
"spaghetti, pancakes, cake",3,31,0.0041327822956939075,3.0808016534319687
"mineral water, pancakes, cake",3,31,0.0041327822956939075,2.250294720012389
"spaghetti, milk, cake",3,31,0.0041327822956939075,2.259888455655344
"eggs, milk, cake",3,31,0.0041327822956939075,2.1894765008055477
"mineral water, milk, cake",3,48,0.006399146780429276,2.555890299273331
"eggs, chocolate, cake",3,32,0.004266097853619517,1.787487259010886
"spaghetti, chocolate, cake",3,39,0.005199306759098787,2.248559058688752
"mineral water, chocolate, cake",3,42,0.005599253432875617,1.7687426359088423
"mineral water, green tea, cake",3,31,0.0041327822956939075,1.6190314181320216
"french fries, green tea, cake",3,33,0.004399413411545127,2.4037373507992
"eggs, french fries, cake",3,34,0.004532728969470737,1.8206889285547214
"mineral water, french fries, cake",3,48,0.006399146780429276,1.9378513033492024
"eggs, spaghetti, cake",3,36,0.004799360085321957,1.8923618464700815
"mineral water, spaghetti, cake",3,53,0.007065724570057326,2.100389941573585
"mineral water, eggs, cake",3,54,0.007199040127982935,2.0733427613170523
"pancakes, burgers",2,79,0.010531929076123183,1.270805186338467
"frozen vegetables, burgers",2,79,0.010531929076123183,1.2672504865165415
"ground beef, burgers",2,90,0.011998400213304892,1.400607471400296
"chocolate, burgers",2,128,0.017064391414478068,1.1945367183981404
"green tea, burgers",2,131,0.0174643380882549,1.5161391360161947
"milk, burgers",2,134,0.01786428476203173,1.581175041844427
"spaghetti, burgers",2,161,0.021463804826023197,1.4139176513012162
"french fries, burgers",2,165,0.021997067057725635,1.4761732671141707
"mineral water, burgers",2,183,0.024396747100386616,1.1738834841861132
"eggs, burgers",2,216,0.02879616051193174,1.8378297443715457
"eggs, pancakes, burgers",3,31,0.0041327822956939075,2.774871359205106
"spaghetti, pancakes, burgers",3,33,0.004399413411545127,3.0488904199693705
"mineral water, frozen vegetables, burgers",3,37,0.004932675643247567,2.489939245294519
"milk, ground beef, burgers",3,31,0.0041327822956939075,3.722961316097191
"mineral water, ground beef, burgers",3,40,0.005332622317024397,2.611473189901472
"spaghetti, ground beef, burgers",3,41,0.005465937874950006,3.6646607313418276
"french fries, chocolate, burgers",3,36,0.004799360085321957,1.9657268750570416
"chocolate, milk, burgers",3,41,0.005465937874950006,2.9527473710204677
"eggs, chocolate, burgers",3,41,0.005465937874950006,2.129132377323364
"mineral water, chocolate, burgers",3,43,0.005732568990801226,1.6834865106014552
"spaghetti, chocolate, burgers",3,48,0.006399146780429276,2.572804342851585
"spaghetti, green tea, burgers",3,36,0.004799360085321957,2.393019579236577
"french fries, green tea, burgers",3,41,0.005465937874950006,2.776404627964157
"eggs, green tea, burgers",3,45,0.005999200106652446,2.8980745275250093
"eggs, milk, burgers",3,40,0.005332622317024397,2.6264214510994828
"french fries, milk, burgers",3,42,0.005599253432875617,2.8997167877427525
"spaghetti, milk, burgers",3,48,0.006399146780429276,3.253062281239299
"mineral water, milk, burgers",3,52,0.006932409012131715,2.574128048605556
"spaghetti, french fries, burgers",3,42,0.005599253432875617,2.1581353121638247
"mineral water, spaghetti, burgers",3,49,0.006532462338354886,1.8052858213421108
"eggs, spaghetti, burgers",3,54,0.007199040127982935,2.6388899143435998
"mineral water, french fries, burgers",3,39,0.005199306759098787,1.463759241367746
"eggs, french fries, burgers",3,68,0.009065457938941474,3.3852564787806436
"mineral water, eggs, burgers",3,59,0.007865617917610986,2.105984583020877
"frozen vegetables, pancakes",2,101,0.013464871350486601,1.486089506566365
"ground beef, pancakes",2,109,0.014531395813891481,1.555924952567267
"green tea, pancakes",2,123,0.01639781362485002,1.3057531811549385
"milk, pancakes",2,124,0.01653112918277563,1.3421005546609412
"chocolate, pancakes",2,149,0.01986401813091588,1.2754517121868998
"french fries, pancakes",2,151,0.020130649246767097,1.2391348108342286
"eggs, pancakes",2,163,0.021730435941874418,1.2721178536796502
"spaghetti, pancakes",2,189,0.025196640447940274,1.522468314328732
"mineral water, pancakes",2,253,0.03372883615517931,1.4886158620191963
"spaghetti, frozen vegetables, pancakes",3,33,0.004399413411545127,2.7887752932307253
"mineral water, frozen vegetables, pancakes",3,46,0.0061325156645780565,2.8394424872233928
"spaghetti, ground beef, pancakes",3,48,0.006399146780429276,3.9353138466213755
"mineral water, ground beef, pancakes",3,56,0.007465671243834155,3.353527142599983
"chocolate, green tea, pancakes",3,32,0.004266097853619517,2.0733529644630257
"french fries, green tea, pancakes",3,34,0.004532728969470737,2.1118644445459243
"spaghetti, green tea, pancakes",3,37,0.004932675643247567,2.2559719408745016
"mineral water, green tea, pancakes",3,43,0.005732568990801226,1.915032230721783
"eggs, milk, pancakes",3,35,0.004666044527396347,2.107951858894361
"chocolate, milk, pancakes",3,36,0.004799360085321957,2.3781166525264568
"spaghetti, milk, pancakes",3,37,0.004932675643247567,2.3000701578257527
"mineral water, milk, pancakes",3,59,0.007865617917610986,2.678964960715665
"french fries, chocolate, pancakes",3,41,0.005465937874950006,2.053490744420271
"eggs, chocolate, pancakes",3,42,0.005599253432875617,2.0005818130304167
"spaghetti, chocolate, pancakes",3,51,0.006799093454206106,2.507401707908829
"mineral water, chocolate, pancakes",3,70,0.009332089054792695,2.51378102532159
"eggs, french fries, pancakes",3,36,0.004799360085321957,1.6438923879302758
"spaghetti, french fries, pancakes",3,43,0.005732568990801226,2.026684072953686
"mineral water, french fries, pancakes",3,49,0.006532462338354886,1.68690001254615
"eggs, spaghetti, pancakes",3,50,0.006665777896280496,2.2412264349653452
"mineral water, eggs, pancakes",3,59,0.007865617917610986,1.9317165740472004
"mineral water, spaghetti, pancakes",3,86,0.011465137981602452,2.9062740285532724
"green tea, frozen vegetables",2,108,0.01439808025596587,1.1433079533987707
"ground beef, frozen vegetables",2,127,0.01693107585655246,1.807795732083385
"french fries, frozen vegetables",2,143,0.019064124783362217,1.1702028081123246
"eggs, frozen vegetables",2,163,0.021730435941874418,1.2685594820609658
"chocolate, frozen vegetables",2,172,0.022930275963204905,1.4682151046675047
"milk, frozen vegetables",2,177,0.023596853752832957,1.910381593714927
"spaghetti, frozen vegetables",2,209,0.027862951606452472,1.6788667687595713
"mineral water, frozen vegetables",2,268,0.03572856952406346,1.57246288387228
